M,N,K,in_dtype,out_dtype,bias,scale_A_type,scale_B_type,B_preshuffled,cu_num,best_solution_idx,best_time_ms,err_ratio,tflops,bw_gb_s
2,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270409,0.0238,0,0.309,78.42
1,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269327,0.0231,0,0.182,91.35
2,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269491,0.0238,0,0.793,198.79
2,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,264914,0.0239,0,2.459,616.23
4,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269341,0.0238,0,1.589,199.93
2,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271219,0.0233,0,2.835,710.27
2,4608,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271278,0.0232,0,5.686,1422.89
2,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271287,0.0238,0,1.852,463.75
1,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269339,0.0229,0,1.325,662.86
4,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271130,0.023,0,0.638,82.23
2,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271106,0.0241,0,0.685,171.9
2,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271216,0.024,0,0.35,88.26
4,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269326,0.0232,0,5.055,634.75
2,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271288,0.0237,0,2.553,639.32
8,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269421,0.0237,0,3.187,201.78
4,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271303,0.0234,0,5.177,649.11
4,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270260,0.0228,0,1.448,182.48
4,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270439,0.024,0,5.495,689.7
2,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269340,0.0226,0,0.648,162.79
4,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270669,0.0243,0,3.628,455.22
8,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269340,0.0239,0,9.82,619.26
4,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270266,0.0238,0,0.704,89.45
8,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269325,0.0228,0,2.895,183.83
4,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269323,0.0233,0,1.262,159.17
8,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270440,0.0231,0,10.489,659.53
8,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270814,0.0233,0,7.556,475.79
8,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270628,0.0242,0,2.431,154.66
8,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269323,0.0228,0,1.474,95.19
8,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269337,0.024,0,11.013,693.86
4,4608,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270669,0.0228,0,11.578,1450.17
8,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270724,0.0224,0,1.31,87.1
16,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269326,0.0233,0,5.682,183.29
16,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269873,0.0228,0,15.423,489.14
16,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270630,0.023,0,22.981,729.74
16,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269319,0.0239,0,19.648,624.95
8,4608,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271302,0.0239,0,22.089,1386.02
16,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271238,0.0228,0,2.941,98.02
16,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269733,0.0227,0,6.654,213.34
16,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269337,0.0227,0,5.172,167.41
16,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270765,0.0229,0,2.56,90.16
16,4608,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,266035,0.025,0,42.263,1331.2
24,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271302,0.0237,0,3.724,92.38
24,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270029,0.0235,0,29.968,641.06
24,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269341,0.0232,0,9.753,211.13
24,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269323,0.0227,0,34.888,744.42
32,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271135,0.0234,0,12.89,211.89
24,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269328,0.0242,0,21.862,465.62
24,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269876,0.0243,0,8.15,177.99
24,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269332,0.0239,0,4.213,96.51
24,4608,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269339,0.0231,0,68.633,1446.88
16,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269828,0.0237,0,20.472,647.47
32,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269325,0.0229,0,41.092,664.99
32,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271100,0.0229,0,5.121,100.38
32,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269337,0.0228,0,11.572,192.48
24,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270241,0.0242,0,29.978,635.82
32,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269325,0.0241,0,43.807,706.55
40,3072,1536,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269336,0.0231,0,16.327,217.38
32,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270476,0.0239,0,40.465,647.5
32,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269831,0.0242,0,29.176,469.44
40,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271131,0.0238,0,49.259,643.23
24,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269330,0.0222,0,7.937,174.21
32,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269427,0.0239,0,5.622,99.51
40,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271109,0.0226,0,14.613,197.38
40,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270939,0.0238,0,36.941,478.94
32,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271238,0.0241,0,9.753,163.28
40,2112,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271240,0.0233,0,51.973,669.22
40,4096,512,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270261,0.0228,0,7.362,107.31
40,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270538,0.0241,0,54.85,713.25
40,512,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270842,0.0238,0,12.313,167.65
32,4608,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270440,0.0226,0,93.622,1486.06
48,576,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270300,0.0236,0,16.82,192.16
48,7168,2304,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269336,0.0232,0,68.473,747.75
48,7168,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270705,0.0242,0,58.332,640.17
48,1536,7168,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270468,0.0225,0,46.915,510.51
40,7168,256,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270297,0.023,0,6.371,104.97
1,1152,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141107,0.0248,0,0.107,107.35
49152,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143924,0.1905,0,513.495,1050.51
49152,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144782,0.0847,0,385.111,1679.32
12288,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145128,0.2075,0,558.89,667.08
12288,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144202,0.2065,0,631.666,736.81
1,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269324,0.0235,0,0.713,356.69
1,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270485,0.0239,0,0.788,394.41
2,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270140,0.0243,0,1.554,389.33
2,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269798,0.0235,0,1.425,357.21
4,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270440,0.0242,0,3.124,391.99
8,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270788,0.0239,0,6.312,397.38
4,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269821,0.0234,0,2.868,360.29
16,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269331,0.0232,0,13.032,413.27
8,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271247,0.0242,0,5.54,349.62
16,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271268,0.0242,0,11.102,353.7
8,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143868,0.0226,0,0.706,89.65
16,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143858,0.0231,0,1.382,89.15
16,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144278,0.0229,0,7.409,471.09
4,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144241,0.0217,0,0.193,49.84
32,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269323,0.0238,0,22.53,365.78
8,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145113,0.0225,0,0.236,30.52
16,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141112,0.0224,0,6.741,428.81
16,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,140571,0.0236,0,0.711,50.19
8,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,139821,0.0231,0,0.363,48.28
48,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,139821,0.0232,0,4.116,94.08
32,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143866,0.0225,0,13.413,434.06
16,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145047,0.0228,0,0.466,31.15
